distance,postcode,bedroom,bathroom,car,landsize,building area,year built
2.500000,3067,2,1,1,202,98,1940
2.500000,3067,2,1,0,156,79,1900
2.500000,3067,3,2,0,134,150,1900
2.500000,3067,3,2,1,94,110,1880
2.500000,3067,3,1,2,120,142,2014
2.500000,3067,2,1,0,181,128,1890
2.500000,3067,4,2,0,245,210,1910
2.500000,3067,2,1,2,256,107,1890
2.500000,3067,1,1,1,0,50,0
2.500000,3067,3,1,2,220,75,1900
2.500000,3067,2,2,1,0,94,2009
2.500000,3067,3,2,2,214,190,2005
2.500000,3067,2,2,1,0,94,2009
2.500000,3067,2,1,1,195,73,1985
2.500000,3067,1,1,1,0,0,0
2.500000,3067,2,1,2,238,97,1890
2.500000,3067,3,2,1,113,110,1880
2.500000,3067,2,1,1,138,105,1890
2.500000,3067,3,1,0,183,98,1900
2.500000,3067,2,1,1,150,73,1985
2.500000,3067,4,2,2,780,135,1900
2.500000,3067,3,2,2,0,0,2010
2.500000,3067,3,2,2,4290,27,2005
2.500000,3067,2,1,1,0,60,1970
2.500000,3067,2,2,1,124,135,2013
2.500000,3067,2,1,0,147,85,1900
2.500000,3067,1,1,1,0,50,2013
2.500000,3067,3,3,1,166,174,2012
2.500000,3067,1,1,1,0,50,2013
2.500000,3067,2,2,2,98,128,1920
2.500000,3067,4,3,1,0,172,1995
2.500000,3067,3,2,2,147,18,2005
2.500000,3067,3,1,1,168,124,1950
2.500000,3067,1,1,1,0,50,2013
2.500000,3067,2,1,0,162,91,1900
2.500000,3067,3,2,1,120,128,1998
2.500000,3067,2,1,0,182,82,1900
2.500000,3067,2,1,1,172,81,1930
13.500000,3042,3,2,1,303,225,2016
13.500000,3042,3,2,1,0,145,1965
13.500000,3042,3,2,1,0,145,1965
13.500000,3042,2,1,1,272,84,1950
13.500000,3042,3,2,2,239,134,2009
13.500000,3042,2,1,1,290,116,1980
13.500000,3042,2,1,1,168,86,2011
13.500000,3042,2,1,1,620,0,2003
13.500000,3042,3,1,2,597,127,2008
13.500000,3042,6,3,2,976,186,1980
13.500000,3042,2,1,1,110,90,2015
13.500000,3042,2,1,1,141,73,2013
13.500000,3042,2,1,1,120,94,2012
13.500000,3042,3,1,6,1063,133,1975
13.500000,3042,3,1,1,0,105,1950
13.500000,3042,3,1,1,265,130,1993
13.500000,3042,2,1,1,192,94,2012
13.500000,3042,3,2,2,596,134,2009
13.500000,3042,3,2,2,165,133,2009
13.500000,3042,3,1,2,971,113,1960
13.500000,3042,2,1,1,164,0,2003
13.500000,3042,3,2,2,657,134,2009
13.500000,3042,2,1,1,612,100,1975
13.500000,3042,3,2,5,612,174,1950
13.500000,3042,3,1,1,775,0,0
13.500000,3042,5,3,4,531,309,1980
13.500000,3042,3,3,2,555,192,1980
13.500000,3042,3,2,2,422,126,1995
13.500000,3042,3,1,3,614,0,1970
13.500000,3042,2,2,1,161,101,2010
13.500000,3042,3,2,1,293,102,1960
13.500000,3042,3,1,1,579,113,1975
13.500000,3042,3,1,1,623,0,1950
13.500000,3042,2,1,1,141,76,2013
13.500000,3042,3,2,1,212,102,1960
13.500000,3042,3,1,2,612,113,1960
13.500000,3042,4,3,2,532,242,1985
13.500000,3042,3,1,1,585,0,0
13.500000,3042,4,1,2,509,202,1920
13.500000,3042,4,2,3,628,146,1975
3.300000,3206,2,1,1,120,82,1900
3.300000,3206,2,1,0,159,0,0
3.300000,3206,3,2,1,211,198,1890
3.300000,3206,3,2,0,128,133,1890
3.300000,3206,2,1,0,130,81,1900
3.300000,3206,1,1,0,147,54,1900
3.300000,3206,2,1,1,167,0,0
3.300000,3206,4,2,1,153,180,1880
3.300000,3206,3,2,2,718,134,1890
3.300000,3206,3,2,1,132,159,1996
3.300000,3206,2,1,1,199,107,1900
3.300000,3206,3,1,1,253,85,1890
3.300000,3206,3,2,1,90,122,1900
3.300000,3206,2,1,0,240,98,1890
3.300000,3206,3,2,1,177,181,1880
3.300000,3206,5,2,1,237,181,1880
3.300000,3206,3,1,0,129,0,1900
3.300000,3206,3,2,2,0,85,2000
3.300000,3206,2,1,0,288,0,0
3.300000,3206,3,2,1,228,159,1996
3.300000,3206,2,1,0,149,98,1890
3.300000,3206,2,1,0,141,83,1890
3.300000,3206,3,2,1,211,147,1900
3.300000,3206,3,1,0,209,0,1900
3.300000,3206,3,2,1,147,146,1890
3.300000,3206,4,3,1,327,254,1910
3.300000,3206,2,1,1,0,61,1965
3.300000,3206,2,1,1,120,123,1900
3.300000,3206,3,1,1,238,131,1890
3.300000,3206,1,1,0,0,34,1970
3.300000,3206,4,2,1,330,207,1910
3.300000,3206,2,1,0,136,68,1890
3.300000,3206,3,1,1,202,116,1910
3.300000,3206,3,3,1,0,0,0
3.300000,3206,3,2,2,325,85,2000
3.300000,3206,3,2,1,183,145,1880
3.300000,3206,2,1,1,162,82,1900
3.300000,3206,2,1,0,79,68,1890
3.300000,3206,3,2,0,152,133,1890
3.300000,3206,3,2,2,147,134,1890
