suburb,address,rooms,type,price,method,seller,date,distance,postcode,bedroom,bathroom,car,landsize,building_area,year_built,council_area,lattitude,longitude,region_name,property_count
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,03-12-2016,2.5,3067,2,1,1,202,0,1196,Yarra,-37.799599,144.998398,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,04-02-2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.807899,144.993393,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,04-03-2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.809299,144.9944,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,04-03-2017,2.5,3067,3,2,1,94,0,1196,Yarra,-37.796902,144.996902,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,04-06-2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.807201,144.994095,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000,S,Jellis,07-05-2016,2.5,3067,2,1,0,181,0,1196,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,07-05-2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.802399,144.999298,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,08-10-2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.995407,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,08-10-2016,2.5,3067,1,1,1,0,0,1196,Yarra,-37.8008,144.997299,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,08-10-2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.800999,144.998901,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12-11-2016,2.5,3067,2,2,1,0,0,1196,Yarra,-37.811001,145.006699,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12-11-2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.808498,144.996399,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12-11-2016,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.996506,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,1172500,S,Biggin,13-08-2016,2.5,3067,2,1,1,195,0,1196,Yarra,-37.808399,144.997299,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14-05-2016,2.5,3067,1,1,1,0,0,1196,Yarra,-37.801601,144.998795,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,1310000,S,Jellis,15-10-2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.808998,144.997604,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16-07-2016,2.5,3067,3,2,1,113,110,1880,Yarra,-37.805599,144.992996,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16-07-2016,2.5,3067,2,1,1,138,105,1890,Yarra,-37.802101,144.996506,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17-09-2016,2.5,3067,3,1,0,183,0,1196,Yarra,-37.8022,144.997498,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17-09-2016,2.5,3067,2,1,1,150,73,1985,Yarra,-37.801102,145.000397,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18-03-2017,2.5,3067,4,2,2,780,135,1900,Yarra,-37.807301,144.995193,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18-03-2017,2.5,3067,3,2,2,0,0,2010,Yarra,-37.809299,144.995895,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18-03-2017,2.5,3067,3,2,2,4290,27,1196,Yarra,-37.8078,144.996506,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18-06-2016,2.5,3067,2,1,1,0,60,1970,Yarra,-37.801498,144.997192,Northern Metropolitan,4019
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18-06-2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.807899,144.997696,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19-11-2016,2.5,3067,2,1,0,147,85,1900,Yarra,-37.807999,144.994003,Northern Metropolitan,4019
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22-08-2016,2.5,3067,1,1,1,0,0,1196,Yarra,-37.801601,144.998795,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22-08-2016,2.5,3067,3,3,1,166,174,2012,Yarra,-37.801701,145.000107,Northern Metropolitan,4019
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,22-08-2016,2.5,3067,1,1,1,0,50,1196,Yarra,-37.8078,144.996506,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22-08-2016,2.5,3067,2,2,2,98,128,1920,Yarra,-37.800499,144.995193,Northern Metropolitan,4019
Abbotsford,31 Turner St,4,h,1542000,S,Collins,24-09-2016,2.5,3067,4,3,1,0,0,1196,Yarra,-37.7994,144.996506,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,2,2,147,18,1196,Yarra,-37.805,144.994293,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,1,1,168,124,1950,Yarra,-37.800701,144.995804,Northern Metropolitan,4019
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26-07-2016,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.996094,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27-11-2016,2.5,3067,2,1,0,162,91,1900,Yarra,-37.801601,144.995605,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27-11-2016,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.995407,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28-05-2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.802101,144.997604,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30-07-2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.808601,144.994598,Northern Metropolitan,4019
