Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longitude,Propertycount
2,1480000,2.5,3067,2,1,1,202,0,0,-37.799599,144.998398,4019
2,1035000,2.5,3067,2,1,0,156,79,1900,-37.807899,144.993393,4019
3,1465000,2.5,3067,3,2,0,134,150,1900,-37.809299,144.9944,4019
3,850000,2.5,3067,3,2,1,94,0,0,-37.796902,144.996902,4019
4,1600000,2.5,3067,3,1,2,120,142,2014,-37.807201,144.994095,4019
2,941000,2.5,3067,2,1,0,181,0,0,-37.8041,144.9953,4019
3,1876000,2.5,3067,4,2,0,245,210,1910,-37.802399,144.999298,4019
2,1636000,2.5,3067,2,1,2,256,107,1890,-37.806,144.995407,4019
1,300000,2.5,3067,1,1,1,0,0,0,-37.8008,144.997299,4019
2,1097000,2.5,3067,3,1,2,220,75,1900,-37.800999,144.998901,4019
2,700000,2.5,3067,2,2,1,0,0,0,-37.811001,145.006699,4019
3,1350000,2.5,3067,3,2,2,214,190,2005,-37.808498,144.996399,4019
2,750000,2.5,3067,2,2,1,0,94,2009,-37.8078,144.996506,4019
2,1172500,2.5,3067,2,1,1,195,0,0,-37.808399,144.997299,4019
1,441000,2.5,3067,1,1,1,0,0,0,-37.801601,144.998795,4019
2,1310000,2.5,3067,2,1,2,238,97,1890,-37.808998,144.997604,4019
3,1200000,2.5,3067,3,2,1,113,110,1880,-37.805599,144.992996,4019
3,1176500,2.5,3067,2,1,1,138,105,1890,-37.802101,144.996506,4019
3,955000,2.5,3067,3,1,0,183,0,0,-37.8022,144.997498,4019
2,890000,2.5,3067,2,1,1,150,73,1985,-37.801102,145.000397,4019
4,1330000,2.5,3067,4,2,2,780,135,1900,-37.807301,144.995193,4019
3,900000,2.5,3067,3,2,2,0,0,2010,-37.809299,144.995895,4019
3,1090000,2.5,3067,3,2,2,4290,27,0,-37.8078,144.996506,4019
2,500000,2.5,3067,2,1,1,0,60,1970,-37.801498,144.997192,4019
2,1100000,2.5,3067,2,2,1,124,135,2013,-37.807899,144.997696,4019
2,1315000,2.5,3067,2,1,0,147,85,1900,-37.807999,144.994003,4019
1,426000,2.5,3067,1,1,1,0,0,0,-37.801601,144.998795,4019
3,1447500,2.5,3067,3,3,1,166,174,2012,-37.801701,145.000107,4019
1,457000,2.5,3067,1,1,1,0,50,0,-37.8078,144.996506,4019
